#item,Time,MainData,MainUnit,MainFunc,Sub Data,SubUnit,SubFunc
584, 12:50:49.8,056,, C [T1],055,, C [T2]
585, 12:50:54.8,056,, C [T1],055,, C [T2]
586, 12:50:59.8,056,, C [T1],055,, C [T2]
587, 12:51:04.8,056,, C [T1],055,, C [T2]
588, 12:51:09.8,056,, C [T1],055,, C [T2]
589, 12:51:14.8,056,, C [T1],055,, C [T2]
590, 12:51:19.8,056,, C [T1],055,, C [T2]
591, 12:51:24.9,056,, C [T1],055,, C [T2]
592, 12:51:29.9,056,, C [T1],055,, C [T2]
593, 12:51:34.9,056,, C [T1],055,, C [T2]
